country,iso3,date,EPI_confirmed_cum,EPI_dead_cum,EPI_recovered_cum
Italy,ITA,2020-01-22,0,0,0
Italy,ITA,2020-01-23,0,0,0
Italy,ITA,2020-01-24,0,0,0
Italy,ITA,2020-01-25,0,0,0
Italy,ITA,2020-01-26,0,0,0
Italy,ITA,2020-01-27,0,0,0
Italy,ITA,2020-01-28,0,0,0
Italy,ITA,2020-01-29,0,0,0
Italy,ITA,2020-01-30,0,0,0
Italy,ITA,2020-01-31,2,0,0
Italy,ITA,2020-02-01,2,0,0
Italy,ITA,2020-02-02,2,0,0
Italy,ITA,2020-02-03,2,0,0
Italy,ITA,2020-02-04,2,0,0
Italy,ITA,2020-02-05,2,0,0
Italy,ITA,2020-02-06,2,0,0
Italy,ITA,2020-02-07,3,0,0
Italy,ITA,2020-02-08,3,0,0
Italy,ITA,2020-02-09,3,0,0
Italy,ITA,2020-02-10,3,0,0
Italy,ITA,2020-02-11,3,0,0
Italy,ITA,2020-02-12,3,0,0
Italy,ITA,2020-02-13,3,0,0
Italy,ITA,2020-02-14,3,0,0
Italy,ITA,2020-02-15,3,0,0
Italy,ITA,2020-02-16,3,0,0
Italy,ITA,2020-02-17,3,0,0
Italy,ITA,2020-02-18,3,0,0
Italy,ITA,2020-02-19,3,0,0
Italy,ITA,2020-02-20,3,0,0
Italy,ITA,2020-02-21,20,1,0
Italy,ITA,2020-02-22,62,2,1
Italy,ITA,2020-02-23,155,3,2
Italy,ITA,2020-02-24,229,7,1
Italy,ITA,2020-02-25,322,10,1
Italy,ITA,2020-02-26,453,12,3
Italy,ITA,2020-02-27,655,17,45
