variable,iso,2020-11-17
epi_deaths,AFG,1632
epi_deaths,AGO,322
epi_deaths,ALB,631
epi_deaths,AND,76
epi_deaths,ARE,534
epi_deaths,ARG,35727
epi_deaths,ARM,1811
epi_deaths,ASM,
epi_deaths,ATG,4
epi_deaths,AUS,907
epi_deaths,AUT,1741
epi_deaths,AZE,985
epi_deaths,BDI,1
epi_deaths,BEL,
epi_deaths,BEN,43
epi_deaths,BFA,68
epi_deaths,BGD,6215
epi_deaths,BGR,2282
epi_deaths,BHR,337
epi_deaths,BHS,163
epi_deaths,BIH,1973
epi_deaths,BLM,
epi_deaths,BLR,1053
epi_deaths,BLZ,94
epi_deaths,BMU,9
epi_deaths,BOL,8849
epi_deaths,BRA,166014
epi_deaths,BRB,7
epi_deaths,BRN,3
epi_deaths,BWA,30
epi_deaths,CAF,63
epi_deaths,CAN,11027
epi_deaths,CHE,3153
epi_deaths,CHL,14863
epi_deaths,CHN,4749
epi_deaths,CIV,128
epi_deaths,CMR,433
epi_deaths,COD,320
epi_deaths,COG,92
epi_deaths,COL,34223
epi_deaths,CRI,1566
epi_deaths,CUB,131
epi_deaths,CYM,2
epi_deaths,CYP,40
epi_deaths,CZE,6416
epi_deaths,DEU,12814
epi_deaths,DJI,61
epi_deaths,DNK,764
epi_deaths,DOM,2286
epi_deaths,DZA,2168
epi_deaths,ECU,13016
epi_deaths,EGY,6465
epi_deaths,ESP,41688
epi_deaths,EST,81
epi_deaths,ETH,1581
epi_deaths,FIN,371
epi_deaths,FJI,2
epi_deaths,FRA,45054
epi_deaths,FRO,
epi_deaths,GAB,58
epi_deaths,GBR,52147
epi_deaths,GEO,778
epi_deaths,GHA,323
epi_deaths,GIB,1
epi_deaths,GIN,75
epi_deaths,GNB,43
epi_deaths,GRC,1165
epi_deaths,GRD,
epi_deaths,GRL,
epi_deaths,GTM,3938
epi_deaths,GUM,98
epi_deaths,GUY,139
epi_deaths,HKG,
epi_deaths,HND,2839
epi_deaths,HRV,1082
epi_deaths,HTI,232
epi_deaths,HUN,3281
epi_deaths,IDN,15296
epi_deaths,IMN,25
epi_deaths,IND,130519
epi_deaths,IRL,1984
epi_deaths,IRN,41979
epi_deaths,IRQ,11712
epi_deaths,ISL,25
epi_deaths,ISR,2735
epi_deaths,ITA,45733
epi_deaths,JAM,231
epi_deaths,JEY,32
epi_deaths,JOR,1843
epi_deaths,JPN,1903
epi_deaths,KAZ,2320
epi_deaths,KEN,1287
epi_deaths,KGZ,1207
epi_deaths,KHM,
epi_deaths,KOR,494
epi_deaths,KWT,842
epi_deaths,LBN,827
epi_deaths,LBR,82
epi_deaths,LBY,1025
epi_deaths,LKA,61
epi_deaths,LSO,44
epi_deaths,LTU,285
epi_deaths,LUX,226
epi_deaths,LVA,126
epi_deaths,MAC,
epi_deaths,MAR,4850
epi_deaths,MDA,2035
epi_deaths,MDG,249
epi_deaths,MDV,44
epi_deaths,MEX,98861
epi_deaths,MKD,1345
epi_deaths,MLI,139
epi_deaths,MLT,98
epi_deaths,MMR,1599
epi_deaths,MNE,396
epi_deaths,MNG,
epi_deaths,MOZ,116
epi_deaths,MSR,1
epi_deaths,MUS,10
epi_deaths,MWI,185
epi_deaths,MYS,313
epi_deaths,NAM,138
epi_deaths,NCL,
epi_deaths,NER,70
epi_deaths,NGA,1163
epi_deaths,NIC,158
epi_deaths,NLD,8519
epi_deaths,NOR,294
epi_deaths,NPL,1230
epi_deaths,NZL,25
epi_deaths,OMN,1350
epi_deaths,PAK,7193
epi_deaths,PAN,2881
epi_deaths,PER,35271
epi_deaths,PHL,7839
epi_deaths,PNG,7
epi_deaths,POL,10491
epi_deaths,PRI,942
epi_deaths,PRK,
epi_deaths,PRT,3472
epi_deaths,PRY,1602
epi_deaths,PSE,647
epi_deaths,QAT,235
epi_deaths,ROU,9075
epi_deaths,RUS,33931
epi_deaths,RWA,45
epi_deaths,SAU,5676
epi_deaths,SDN,1116
epi_deaths,SEN,329
epi_deaths,SGP,28
epi_deaths,SLE,74
epi_deaths,SLV,1052
epi_deaths,SOM,108
epi_deaths,SRB,1030
epi_deaths,SSD,59
epi_deaths,SUR,115
epi_deaths,SVK,526
epi_deaths,SVN,532
epi_deaths,SWE,6214
epi_deaths,SWZ,119
epi_deaths,SYC,
epi_deaths,SYR,350
epi_deaths,TCD,101
epi_deaths,TGO,61
epi_deaths,THA,60
epi_deaths,TLS,
epi_deaths,TON,
epi_deaths,TTO,112
epi_deaths,TUN,2389
epi_deaths,TUR,11601
epi_deaths,TWN,7
epi_deaths,TZA,21
epi_deaths,UGA,150
epi_deaths,UKR,9697
epi_deaths,UMI,
epi_deaths,URY,67
epi_deaths,USA,247220
epi_deaths,UZB,598
epi_deaths,VEN,855
epi_deaths,VIR,23
epi_deaths,VNM,35
epi_deaths,XKX,833
epi_deaths,YEM,604
epi_deaths,ZAF,20314
epi_deaths,ZMB,353
epi_deaths,ZWE,257
